study_nr,author,title,pubyear,invivo_exvivo,invivo_exvivo_nr,structures_names,structures_nr,ident_seg,ident_seg_nr,Manual_or_Automatic_segmentation,manseg_auto_seg_nr,Which_sequence_visible,sequence_nr,Field_strength,Field_strength_nr,control_patient,type_of_patient,Total_n,T1_x,T1_y,T1_z,T1_voxel_volume_cubic_mm,T2_x,T2_y,T2_z,T2_voxel_volume_cubic_mm,T2s_x,T2s_y,T2s_z,T2s_voxel_volume_cubic_mm,fT2s_x,fT2s_y,fT2s_z,fT2s_voxel_volume_cubic_mm,dwi_x,dwi_y,dwi_z,dwi_voxel_volume_cubic_mm,swi_x,swi_y,swi_z,swi_voxel_volume_cubic_mm,mt_x,mt_y,mt_z,mt_voxel_volume_cubic_mm,pd_x,pd_y,pd_z,pd_voxel_volume_cubic_mm,other_x,other_y,other_z,other_voxel_volume_cubic_mm
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,globus pallidus,13,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,caudate,17,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,putamen,19,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,red nucleus,91,Identification,1,NA,0,GE Magnitude PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,red nucleus,91,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,medullary lamella of the red nucleus,94,Identification,1,NA,0,GE Magnitude PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,medullary lamella of the red nucleus,94,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,red nucleus pars oralis,95,Identification,1,NA,0,GE Magnitude PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,red nucleus pars oralis,95,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
1,Abduljalil,Enhanced Gray and White Matter Contrast of Phase Susceptibility-Weighted Images in Ultra-High-Field Magnetic Resonance Imaging ,2003,Invivo,1,red nucleus pars dorsomedialis,96,Identification,1,NA,0,GE Phase PD/T2*,9,8.0,2,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391,0.391,5,0.764405
